description,title
"Optimize cloud resource usage to reduce costs while maintaining performance. Work with managed database services including RDS, DynamoDB, and Cloud SQL. Experience with containerization using Docker and orchestration with Kubernetes. A degree in Computer Science, IT, or a related field is preferred. Excellent teamwork and communication skills are required. Implement disaster recovery and backup strategies in the cloud.",Cloud Engineer
"Monitor deployed models for performance drift and data quality issues. Partner with DevOps teams to containerize and deploy models using Docker and Kubernetes. Integrate ML models into production applications via REST APIs. Develop and maintain training, evaluation, and inference pipelines. Familiarity with A/B testing and experimentation frameworks is desired. Develop deep learning architectures for classification, regression, and generation tasks.",Machine Learning Engineer
"Focus exclusively on the browser layer: pixel-perfect HTML, CSS animations, and JavaScript interactions. Collaborate closely with back-end developers to integrate APIs and data services. Develop reusable components using React, Angular, or Vue.js. Strong eye for detail and passion for building great user experiences. A degree in Computer Science, Web Development, or a related discipline is preferred. Strong proficiency in HTML5, CSS3, and modern JavaScript (ES6+) is required.",Frontend Developer
"Experience with CI/CD pipelines and automated testing frameworks. Optimize database queries and back-end performance for high-traffic applications. Strong collaboration and communication skills are valued. Knowledge of microservices and distributed systems architecture is preferred. Participate in architectural design discussions and contribute to technical decisions. Understanding of software design patterns such as MVC, CQRS, and event sourcing. Maintain Spring Boot services that power the core business logic layer, leaving all UI concerns to frontend engineers.",Backend Developer
"Communicate findings clearly to both technical and non-technical stakeholders. Develop data visualizations using Matplotlib, Seaborn, Tableau, or Power BI. Strong knowledge of statistics, probability, and linear algebra is required. Clean, transform, and validate data from multiple structured and unstructured sources. Collaborate with engineering and product teams to integrate models into production systems. Knowledge of feature engineering and model selection techniques is essential. Work cross-functionally with business analysts and data engineers. Use Python and R to develop data analysis pipelines and experiments.",Data Scientist
"Passion for building user-friendly, scalable web products. Integrate third-party services, payment gateways, and external APIs. Proficiency in HTML5, CSS3, and modern front-end tooling (Webpack, Vite) is expected. Familiarity with containerization using Docker is advantageous. Experience with state management libraries such as Redux or Vuex.",Full Stack Developer
"Hands-on experience with AWS, Azure, or GCP is required. Configure and manage serverless services such as AWS Lambda or Azure Functions. Monitor cloud infrastructure health and respond to incidents and alerts. Work with managed database services including RDS, DynamoDB, and Cloud SQL. Maintain documentation for cloud architecture and operational procedures. A degree in Computer Science, IT, or a related field is preferred. Relevant cloud certifications (AWS Solutions Architect, Azure Administrator) are preferred. Implement cloud security best practices including IAM policies, encryption, and network segmentation.",Cloud Engineer
"Maintain and update existing reports and analytical models. Strong organizational skills and ability to document analytical processes thoroughly. Write complex SQL queries to extract and transform data from relational databases. Attention to detail and ability to work with large, complex datasets. Validate data accuracy by cross-referencing multiple data sources. Ability to manage multiple analysis requests with varying priorities.",Data Analyst
"Ensure AI systems are fair, explainable, and compliant with ethical guidelines. Curiosity and passion for building innovative AI-driven products. Develop AI-powered APIs and microservices for integration into production systems. Work with transformer architectures including BERT, GPT, and T5. Experience with autonomous agents and AI orchestration frameworks is advantageous. Ability to communicate AI concepts clearly to non-technical stakeholders. Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems.",AI Engineer
"Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Strong mathematical background in linear algebra, calculus, and probability. Design and implement artificial intelligence solutions for real-world business problems. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Experience with Hugging Face Transformers and model fine-tuning is highly desirable. Integrate AI models into web and mobile applications via REST APIs. Ensure AI systems are fair, explainable, and compliant with ethical guidelines.",AI Engineer
"Ability to communicate AI concepts clearly to non-technical stakeholders. Experience with Hugging Face Transformers and model fine-tuning is highly desirable. Work with large language models (LLMs) and fine-tune pre-trained models for specific domains. A Master's or PhD in Artificial Intelligence, Computer Science, or a related field is preferred. Experience with autonomous agents and AI orchestration frameworks is advantageous. Strong mathematical background in linear algebra, calculus, and probability.",AI Engineer
"Work in an Agile environment with regular sprint cycles and code reviews. Develop and maintain training, evaluation, and inference pipelines. Write efficient Python code and ensure models meet performance benchmarks. Proficiency in Python and familiarity with C++ for performance-critical components. Ability to communicate technical concepts clearly to both engineers and business stakeholders. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous.",Machine Learning Engineer
"Strong mathematical background in linear algebra, calculus, and probability. Develop AI-powered APIs and microservices for integration into production systems. Experience with Hugging Face Transformers and model fine-tuning is highly desirable. Experience deploying models at scale using Docker and Kubernetes. Ensure AI systems are fair, explainable, and compliant with ethical guidelines. Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems.",AI Engineer
"Manage and provision infrastructure using Infrastructure-as-Code tools such as Terraform or Ansible. Implement logging, alerting, and observability solutions across the infrastructure. Perform capacity planning and optimize cloud resource utilization. Manage source code repositories and branching strategies with Git and GitHub. Automate repetitive operational tasks using Bash, Python, or PowerShell scripts. Experience with Jenkins, GitLab CI, or GitHub Actions is required.",DevOps Engineer
"Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI. Build, train, and evaluate deep learning models for classification, detection, and generation tasks. Collaborate with research teams to translate cutting-edge AI research into deployable products. Ensure AI systems are fair, explainable, and compliant with ethical guidelines. Strong understanding of neural network architectures and optimization techniques. Develop AI-powered APIs and microservices for integration into production systems.",AI Engineer
"Use build tools such as Webpack, Vite, or Parcel for asset bundling. Specialise in Core Web Vitals optimisation, Lighthouse audits, and lazy-loading strategies for a high-traffic portal. Experience with React.js or Vue.js is essential for this position. Translate UI/UX designs into clean, semantic HTML, CSS, and JavaScript code. Ability to work collaboratively with UI/UX designers using Figma or Sketch.",Frontend Developer
"Develop RESTful APIs and server-side logic using Node.js, Django, or Flask. Optimize web applications for maximum speed and scalability. Span the entire stack: craft Tailwind CSS components in the morning and optimise PostgreSQL queries in the afternoon. Work with relational and non-relational databases such as PostgreSQL and MongoDB. Experience with both JavaScript and TypeScript is required. Architect end-to-end features across Vue.js, a GraphQL gateway, and a MongoDB data layer. Experience with state management libraries such as Redux or Vuex. Collaborate with UI/UX designers to implement pixel-perfect designs.",Full Stack Developer
"Relevant cloud certifications (AWS Solutions Architect, Azure Administrator) are preferred. Build and maintain CI/CD pipelines integrated with cloud deployment workflows. Strong problem-solving skills and ability to work under pressure during incidents. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver. Evaluate and recommend cloud services and architectural patterns. Maintain documentation for cloud architecture and operational procedures. Optimize cloud resource usage to reduce costs while maintaining performance. A degree in Computer Science, IT, or a related field is preferred.",Cloud Engineer
"Document methodologies, experiments, and results for reproducibility. Knowledge of feature engineering and model selection techniques is essential. Work cross-functionally with business analysts and data engineers. Proficiency in SQL for data extraction and exploration is required. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Apply techniques such as regression, classification, clustering, and time-series forecasting. Design and execute A/B tests to evaluate product changes and business strategies.",Data Scientist
"Present findings and recommendations to non-technical audiences clearly. Ability to manage multiple analysis requests with varying priorities. Collect, clean, and analyze data to support business decision-making processes. Strong proficiency in SQL and Excel is required. Work with data engineers to ensure data pipelines deliver accurate data. Knowledge of statistical analysis methods is expected. Maintain and update existing reports and analytical models. Write complex SQL queries to extract and transform data from relational databases.",Data Analyst
"Strong leadership, collaboration, and decision-making capabilities. Ability to lead cross-functional teams without formal authority. Communicate product updates and milestones to executive leadership and stakeholders. Proficiency in tools such as JIRA, Confluence, Productboard, or Notion. Define and communicate the product vision, strategy, and roadmap. Collaborate with sales and customer success teams to ensure customer satisfaction. Identify and mitigate product risks throughout the development lifecycle. Write detailed product requirement documents and user stories for development teams.",Product Manager
